workers,time_sec,throughput_samples_per_sec,efficiency_percent,loaded_samples
1,626.25,3348.73,100.0,2097145
2,407.96,5140.57,76.75,2097145
4,333.27,6292.55,46.98,2097145
8,332.83,6301.0,23.52,2097145
